episode,reward,Cmax
1,-849.9558072212617,739.782400245898
2,-303.3064447327707,248.0961184542894
3,-207.60757746132697,174.90886517938642
4,-393.9555327370476,344.50744978980157
5,-459.3602170087043,382.2499658755353
6,-371.75753449075813,316.05262499307526
7,-374.16914572677825,314.23874444347206
8,-507.51139188030623,437.90393276337727
9,-203.88787651053096,170.8578682403108
10,-413.7564612834444,367.7915454407912
11,-246.17653729058753,198.3016599136669
12,-379.47001847055077,324.1444125878237
13,-694.9934444228895,613.4622649808987
14,-349.77819027994195,289.116378520103
15,-468.1313896033982,402.1764840174369
16,-309.1748435807324,262.23037365605273
17,-200.6846261639325,164.36117112933064
18,-303.8284472730984,261.1102488014151
19,-524.0766402087335,444.1505977448006
20,-240.14309074178215,194.3791204348997
21,-378.6025741439325,331.32008612151304
22,-296.14882776351476,243.18920406026453
23,-546.8448387338101,485.8516939267597
24,-651.137536545086,564.4387099584461
25,-349.63890220579106,297.2132288845326
26,-577.5641678988202,500.47408312659735
27,-230.26513410772378,193.45448152900423
28,-482.89351791783884,419.30920694934235
29,-223.08023574091897,184.26416839458435
30,-307.1299230948331,265.29989800139947
31,-356.4814409344285,298.4948359640019
32,-292.7859352832437,242.73604759353125
33,-359.2305376346604,307.37371300218075
34,-468.93986168079823,402.85959995950566
35,-274.9634862281113,228.2753583171825
