algorithm,Cmax,utilization,load_balance,runtime_sec,scenario,level
FIFO,516.2601061721009,0.16911133285566807,134.1917326569178,0.027062900000601076,规模,50
SPT,516.2601061721009,0.16911133285566807,134.1917326569178,0.029531599997426383,规模,50
TSR-PPO,516.2601061721009,0.18544038338911753,118.69808135984483,0.04019310000148835,规模,50
FIFO,1218.0232842635671,0.15558030797028624,273.1065945002253,0.056861699998989934,规模,100
SPT,1218.0232842635671,0.15558030797028624,273.1065945002253,0.05734229999870877,规模,100
TSR-PPO,1218.0232842635671,0.16896680617525908,236.3821726626713,0.09362210000108462,规模,100
FIFO,2607.300350997385,0.16155762590300748,625.4839773341043,0.12404800000149407,规模,200
SPT,2607.300350997385,0.16155762590300748,625.4839773341043,0.12648600000102306,规模,200
TSR-PPO,2607.300350997385,0.177648145670983,567.957255564548,0.18373049999718205,规模,200
SPT,795.4706557375955,0.13483324538550845,209.82295631763137,0.016921200000069803,拆分上限,1
TSR-PPO,795.4706557375955,0.2900839884044622,151.29393174503696,0.03878740000072867,拆分上限,1
SPT,884.5992954687788,0.19474141619398,221.3214999722843,0.044050500000594184,拆分上限,2
TSR-PPO,884.5992954687788,0.21736851459689283,181.99902615675504,0.06560719999833964,拆分上限,2
SPT,1093.1326022198014,0.14429843080017826,252.2063168070106,0.13056169999981648,拆分上限,3
TSR-PPO,1093.1326022198014,0.15356777335157384,236.1225553814061,0.1557993999995233,拆分上限,3
SPT,961.358188742659,0.21869590225899818,217.25158197845582,0.045215800000733,异构程度,low
TSR-PPO,961.358188742659,0.23673012420387002,196.82893073846105,0.06819679999898653,异构程度,low
SPT,999.2760179379019,0.17824472400651892,282.3219946403004,0.04093920000013895,异构程度,medium
TSR-PPO,999.2760179379019,0.19027254073416816,237.66910878045604,0.06123500000103377,异构程度,medium
SPT,1084.495957703471,0.15315557629806179,334.442588697661,0.03991339999993215,异构程度,high
TSR-PPO,1042.6478053425058,0.18081082996931014,262.47851608577935,0.06321519999983138,异构程度,high
SPT,1046.1260671415682,0.14951800141347935,245.21060188552877,0.055533000002469635,滚动步长,60
TSR-PPO,1046.1260671415682,0.15735819968846146,224.92236340691468,0.07435219999752007,滚动步长,60
SPT,937.3719489754911,0.18840758672970323,242.35983171429413,0.04469990000143298,滚动步长,120
TSR-PPO,937.3719489754911,0.21059955756865206,185.93905493603313,0.06883690000177012,滚动步长,120
SPT,630.511484869034,0.22864641862585708,183.8178724229168,0.04562169999917387,滚动步长,240
TSR-PPO,630.511484869034,0.2466766927886855,134.17406507094142,0.069134600002144,滚动步长,240
SPT,1655.3699617234654,0.09791311520519491,318.22444534043103,0.041376600001967745,到达强度,low
TSR-PPO,1655.3699617234654,0.10423219937990318,300.80527699227616,0.061030200002278434,到达强度,low
SPT,1073.4370189155013,0.16041095586515974,272.58790752021736,0.04266510000161361,到达强度,medium
TSR-PPO,1073.4370189155013,0.1734217003740562,231.76826729396547,0.06970880000153556,到达强度,medium
SPT,527.1559336382611,0.28778801249033253,167.16484573525003,0.048840800001926254,到达强度,high
TSR-PPO,509.0931698034432,0.3302966341515466,117.29090800539171,0.07510239999828627,到达强度,high
